书名,查询词(英文/古籍),作者,归属场景
伤寒论(中医临床必读丛书),伤寒论,张仲景(人卫),family_doctor
医学衷中参西录,医学衷中参西录,张锡纯,family_doctor
国富论,The Wealth of Nations,亚当·斯密,cross_border;industrialization
政治学,Politics Aristotle,亚里士多德,debate_speech
本草纲目,本草纲目,李时珍,family_doctor
温病条辨,温病条辨,吴鞠通,family_doctor
理想国,The Republic Plato,柏拉图(商务印书馆/郭斌和译),debate_speech
脾胃论,脾胃论,李东垣,family_doctor
论法的精神,The Spirit of the Laws,孟德斯鸠,legal_consulting
金匮要略,金匮要略,张仲景,family_doctor
随园食单,随园食单,[清] 袁枚,cooking_recipe;dining_recommendation
黄帝内经(王冰注本),黄帝内经,唐·王冰 注,family_doctor
